Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
250464458,0,1,0,0
250464625,0,1,0,1
250464708,0,1,0,0
250464875,0,1,0,1
250464958,0,1,0,0
250465125,0,1,0,1
250465208,0,1,0,0
250465250,0,1,0,1
250465333,0,1,0,0
250466500,0,1,0,1
250466583,0,1,0,0
250466750,0,1,0,1
250466833,0,1,0,0
250466875,0,1,0,1
250467042,0,1,0,0
250467083,0,1,0,1
250467167,0,1,0,0
250474500,0,1,0,1
250474583,0,1,0,0
250474750,0,1,0,1
250474833,0,1,0,0
250474875,0,1,0,1
250475042,0,1,0,0
250475083,0,1,0,1
250475167,0,1,0,0
250483583,1,1,0,0
250490583,0,1,0,0
250537583,1,1,0,0
250544583,0,1,0,0
250552375,0,1,0,1
250552458,0,1,0,0
250552625,0,1,0,1
250552708,0,1,0,0
250553000,0,1,0,1
250553083,0,1,0,0
250560500,0,1,0,1
250560583,0,1,0,0
250560750,0,1,0,1
250560833,0,1,0,0
250560875,0,1,0,1
250561000,0,1,0,0
250561083,0,1,0,1
250561125,0,1,0,0
250562125,0,1,0,1
250562208,0,1,0,0
250562375,0,1,0,1
250562458,0,1,0,0
250562625,0,1,0,1
250562708,0,1,0,0
250562875,0,1,0,1
250562958,0,1,0,0
250563125,0,1,0,1
250563208,0,1,0,0
250563375,0,1,0,1
250563458,0,1,0,0
250563625,0,1,0,1
250563708,0,1,0,0
250563875,0,1,0,1
250563958,0,1,0,0
250564125,0,1,0,1
250564208,0,1,0,0
250564375,0,1,0,1
250564458,0,1,0,0
250564625,0,1,0,1
250564708,0,1,0,0
250564875,0,1,0,1
250564958,0,1,0,0
250565125,0,1,0,1
250565208,0,1,0,0
250565375,0,1,0,1
250565458,0,1,0,0
250565625,0,1,0,1
250565708,0,1,0,0
250565875,0,1,0,1
250565958,0,1,0,0
250566125,0,1,0,1
250566208,0,1,0,0
250566375,0,1,0,1
250566458,0,1,0,0
250566625,0,1,0,1
250566708,0,1,0,0
250566875,0,1,0,1
250566958,0,1,0,0
250567125,0,1,0,1
250567208,0,1,0,0
250567375,0,1,0,1
250567458,0,1,0,0
250567500,0,1,0,1
250567583,0,1,0,0
250567875,0,1,0,1
250567958,0,1,0,0
250568125,0,1,0,1
250568208,0,1,0,0
250568375,0,1,0,1
250568458,0,1,0,0
250568625,0,1,0,1
250568708,0,1,0,0
250568875,0,1,0,1
250568958,0,1,0,0
250569125,0,1,0,1
250569208,0,1,0,0
250569375,0,1,0,1
250569458,0,1,0,0
250569625,0,1,0,1
250569708,0,1,0,0
250569875,0,1,0,1
250569958,0,1,0,0
250570125,0,1,0,1
250570208,0,1,0,0
250570375,0,1,0,1
250570458,0,1,0,0
250570625,0,1,0,1
250570708,0,1,0,0
250570875,0,1,0,1
250570958,0,1,0,0
250571125,0,1,0,1
250571208,0,1,0,0
250571375,0,1,0,1
250571458,0,1,0,0
250571625,0,1,0,1
250571708,0,1,0,0
